text,true,pred
woken feeling little special...i dont thing drink bar dry cards. finally sober home time think,positive,neutral
getting new cellphone wednesday! lg voyager! soo sweet! wait long though,positive,neutral
work morning friends get party up.....stupid bberry lite flashing red NEG_messages!,negative,neutral
watching original sabrina teenage witch movie. different series rad,positive,neutral
thought u said twitter bellion?,negative,neutral
hehehe really know that! well use blog twitter suggest interesting topics ppl engage,neutral,positive
dude safely say blown away heard attics. make sure pass much can!,positive,neutral
missing much. work spend time get paid lol,neutral,negative
kind hard see pic doggie pic exist,negative,neutral
oh god! cheesy disco music started everyone getting tables need wine...,negative,neutral
im well bored great half term dont wanna go back school monday enjoying hot weatler lo l,neutral,positive
nothing much man waiting insurance card come through... cant get workdone w it... redtape,neutral,negative
NEG_more NEG_drinking NEG_for NEG_harm NEG_doc NEG_is NEG_convinced NEG_that NEG_it NEG_s NEG_the NEG_cause NEG_of NEG_my NEG_pcvs NEG_look NEG_it NEG_up NEG_.told NEG_to NEG_stop NEG_smoking NEG_just NEG_yet NEG_that NEG_will NEG_come,neutral,negative
going lunch soon fave cuzs,positive,neutral
iloveyoumoreeee,positive,neutral
idiotat tux cool. th nks follow. techyuppie,positive,neutral
return sideways. meds bills.,negative,neutral
son got stung bug first time little finger slightly swollen.,negative,neutral
way nottingham..i want going,negative,neutral
big boss week.. small yay. free lunch office today big yay!,neutral,positive
love johnny deep looks public enemies l catch film show hk,positive,neutral
lies...lies...lies....you cant avoid lie practically...everything!,negative,neutral
saw deforestation.so NEG_surprised NEG_of NEG_bad NEG_back NEG_but NEG_moan NEG_back NEG_at NEG_you.lol,negative,neutral
bugger. forgot still washing machine,negative,neutral
get good download speed NEG_one NEG_else NEG_is NEG_using NEG_the NEG_connection,positive,neutral
bbq gone well ! weather stayed good right bonus. bed training morning work,neutral,positive
demi think itd amazing covered thats get paramore haha im sure know,neutral,positive
ahh! yay! gonna get it?,positive,neutral
boxing trainer. although think bruise came hitting something. ow,negative,neutral
feel like going toss cookies,neutral,negative
theres spider bed calming fears listening greeeeen day,positive,neutral
peabody pretty sure got sent home couple times too. tis week remember mary anto granny love around,neutral,positive
think im becoming obsessed mgmt kids,positive,neutral
beery yeah little rough morning tonight tomorrow night goes planned. caloric intake charts,negative,neutral
last week class... well technically classes two exams summmmmerrrrr begins...yeahhhhhyaaaaaa,positive,neutral
saw stalkerishly elevator brookie eating moracca ? go.,negative,neutral
freakin lond thursday ready hit hay surprise surprise freakin sleep boo!,negative,neutral
wait get hands new blackberry one dying,negative,neutral
sweet usb charles marie site bought,positive,neutral
cold,negative,neutral
sun wonderful makes feel incredibly fat.. less clothes exposure thing today diet. again......,neutral,negative
roman pain killers lq meds. thanks jess agreeing go get yogurt go out!,neutral,negative
blocked acct one hated sports teams. felt really good.,positive,negative
know . trying sort portfolio know put it!,negative,neutral
apparently! tried site tho. maybe get better results.,positive,neutral
baby cardinal fallen nest. dont want get attacked mom bird dont want dog get bird,neutral,negative
totally forgot dgree show et al. ensconced home wine ready bed,negative,neutral
bev too. sometimes kind days need relax,positive,neutral
tired! dinner good churro good!,neutral,positive
shopping therapuetic bettering myself... need financing therapy however,positive,neutral
NEG_rice NEG_or NEG_crusty NEG_bread NEG_with NEG_the NEG_chili NEG_.... NEG_aawww,neutral,negative
yea tough keep going. sometimes NEG_sure NEG_its NEG_worth NEG_it.,negative,neutral
dude even say bye,negative,neutral
grr...everytime gets new girlfriend..i bottom totem pole,negative,neutral
wanna see movie keith jmccartney it! looks sooo good. none video stores carry,neutral,positive
guys bomb haha,neutral,positive
instead laying degrees gotta give fourth graders miso rice sushi mochi hour fml,negative,neutral
emily wish hear that!,neutral,positive
hi chile!!! deg c winter coming....cant wait cali sun.,neutral,positive
proudly watching film,positive,neutral
sitting work watching clock. moving fast enough.,negative,neutral
ha ha abbreviate NEG_so NEG_bulky,negative,neutral
wondering happened froggies potato farm!,negative,neutral
like rest us miserable bank holiday.then lol,negative,neutral
liam peed potty!!,negative,neutral
charming skater look kind of....hot! hot mess catherine pls hate hitting friends. tnx,negative,neutral
isnt looking forward going back work. days isnt long enough,negative,neutral
hong kong great crazy english names . friend works miss chewbacca leung,positive,neutral
cheer buttercup! rain go away hearts always mend. actually bet that!,positive,neutral
really need mind business eating disorders NEG_the NEG_only NEG_reason NEG_people NEG_have NEG_to NEG_vomit NEG_assholes,negative,neutral
yay nice weather boo cici NEG_being NEG_here NEG_this NEG_weekend,negative,positive
oops spent much already lol quid gone,negative,neutral
best check up. really see anything,positive,neutral
five days. five long days. ahh!,positive,neutral
believe idiots buzzed juggler.,negative,neutral
yes win!,positive,neutral
lol.well.hope find someone give massage wish could half world away lol,positive,neutral
awww poor jayk. try make drive fun.and eat something soon!have great show tonight wish could go live far,neutral,positive
monday going extremely well. NEG_what NEG_i NEG_expected NEG_at NEG_all!,positive,neutral
oooh neat! yes sf good food. jealous sf people.,neutral,positive
haha bored! think go watch movie bbl,negative,neutral
miles go. thats ok u radio alwas helps.,positive,neutral
fender hiding couch ... knows getting ready leave happy,negative,neutral
okay got card phone moment. please use email reach sorry,negative,neutral
por favor!!! need five more!,neutral,positive
gave inspiration last update.,positive,neutral
getting ready concert tonight! yay!,positive,neutral
ohhh. hm. want screw mine,neutral,negative
lol..wat vibes doin atlantic? ur shirt twitter pic? lol,positive,neutral
nothings really going well ...however currently theres nothing else look forward may aswel make best,neutral,positive
honour fired new hope dvd player full thx glory,neutral,positive
official nobody getting raise year,negative,neutral
read pretty awesome web comics today. nothing really good woot today,neutral,positive
umm abt comment like p dont like,negative,neutral
thankfully NEG_why NEG_are NEG_you NEG_still NEG_up??,positive,neutral
dont cry me! see u tomorrow. muah.,positive,neutral
hussein wake earlier thought.. dad wants take food am! NEG_o NEG_o NEG_o!,negative,neutral
found friend isnt actually. hey happens.,negative,neutral
nooooooo!!!!!!!!!!!!! july? im gonna back home nooooooooooo!!!!!!!!!,negative,neutral
taking twitter break. cell dying,negative,neutral
sunday mother day!,neutral,positive
want tell think body odour,negative,neutral
need would made picture much cooler. mine bottle green. eeyea thooo!,positive,neutral
hard time talking new people pretty sure make good impression.....,negative,positive
irratated,negative,neutral
bored hope wlan go today!,negative,neutral
it? missed it.,neutral,negative
but...he s..mine told couple weeks ago find guys hot apart ones you...,negative,neutral
like dress,negative,neutral
feel like ive done london marathon ach,negative,neutral
got right! know found coming cried! really sucks im still happy headlining now!,neutral,positive
mccoy initial rant.,negative,neutral
u see dont,negative,neutral
apple ads aside rather recommendations real people real experience iphone apps seek.,positive,neutral
raining fine rain!!! u know fine rain wets,positive,neutral
shoutout beautiful moms niggas dont appreciate! one cares happy mothers day!,neutral,positive
pride next weekend long beach!!,positive,neutral
omg pic youu look cuute !,positive,neutral
um really scary please safe! btw ill orlando next week,negative,neutral
it! want see movie sooo bad. tell anything. hehe.,neutral,negative
every right feel like crazy fanboy! jason mraz james morrison? jealousy tangible,neutral,negative
downside getting tdl days early time read til next week anyway! still hurrah clutches close,positive,neutral
prefer overcast days too. sorry hot are.,neutral,negative
see birthday visit haha wack saturday ?,positive,neutral
slightly disturbed hollyoaks tonight. really think something shown . pm...,negative,neutral
internet service acting strange earthquake. found submarine fiber optics cable got damaged,neutral,negative
awsome voice. bored nothin really consider going back school yeah right rather cry boredom forever,neutral,negative
funnn!,positive,neutral
vincent missed party!!!! bought wine everything!!!,negative,neutral
may th,neutral,positive
pythonkings.nl equals almost better sims....,positive,neutral
frank black wifey show aaaaaaaaaamazing sd trip made!,positive,neutral
fun last night? see you.,neutral,positive
cry baby. janes joplin this? munsay music. dont know wich day today,negative,neutral
presentations available online meeting? poster discussants going fast write fast enough,negative,neutral
really? ur brave lady walkin around lions then. book suggestions?,positive,neutral
mactastic dunno p end waking am? mysterious world,negative,neutral
need get intel based mac st impacts dual core vs quad choice latter probably better virtualization,positive,neutral
hugs back,positive,neutral
think way express chars disspointed advertising lifehacker buy mac article.,negative,neutral
post warhammer blog anyone interested,neutral,positive
welcome,neutral,positive
link work,negative,neutral
laughs like winning,positive,neutral
unlocked decades now...just NEG_lucky never NEG_have NEG_been. NEG_gottta NEG_make NEG_my NEG_own NEG_luck NEG_and NEG_that NEG_involves,negative,neutral
storm..soo much goin ..ill play net awhile,neutral,negative
thirty minutes turned three hours. oops,negative,neutral
okay...so aim account now...send ur n add u...thx!,positive,neutral
listening heart. aka took carlys last.fm need hours. looooong day tomorrow,negative,neutral
like apples movie rio bravo. good hunting make lot sense now.,neutral,positive
getting ready school.. reading going set montepulciano practically crying cause NEG_there,negative,neutral
done geology!! really missing favorite sisters! especially go banquet tonight,negative,positive
blogging..it new passion,positive,neutral
hahaha well would smack that?! hahaha big banggg,negative,positive
tired good moood,neutral,positive
fann coming up! sowwy!,negative,neutral
thought rubbish twins cute tho!,neutral,positive
saw best back combed poofy bangs morning yo... high. time turned around gone... NEG_picture,neutral,positive
never NEG_seen NEG_any NEG_of NEG_the NEG_x NEG_men NEG_films NEG_but NEG_they NEG_are NEG_supposed NEG_to NEG_be NEG_good NEG_so NEG_i NEG_thought NEG_why NEG_not?,positive,neutral
jbobsessed xd miss soooooo much! live web cast bookface ? every thursday xd,negative,positive
NEG_really NEG_sure. NEG_need NEG_to NEG_deposit NEG_and NEG_save NEG_some NEG_money,negative,neutral
ive since hate wen cant sleep. garys takn nap mite,neutral,negative
NEG_we NEG_had NEG_to NEG_go NEG_to NEG_malibu NEG_to NEG_find NEG_a NEG_beach!,neutral,negative
haha yeah improving nite big time!! make skype call soon tho tear away..,positive,neutral
laying bed til workkk... oh life. definitely pinched nerve.,negative,neutral
grandma place mum celebrating mothers day generations. th come,positive,neutral
it! local coffeeshop sold stuff last time... quitting!,negative,neutral
foster still NEG_working,negative,neutral
yw gets really hot middle summer like right perfect! less hour away.,positive,neutral
anyone want really awesome buy one birthday?,neutral,positive
get wisdom teeth pulled!,neutral,positive
hmph. nowhere near effective mins ago. wonder coincidence. followers please report ur findings,negative,neutral
staff meeting today joemo...it same! travel safely ...we see tomorrow!,positive,neutral
good morning david! happy mother day mom lol. bad u her. awesome!,neutral,positive
brighter note.. still work friday working peoples problems... oh man. eating pizza tonight. hoorah!,neutral,negative
tripping tiredness nottt nice,negative,positive
beautiful day... im working leaving get sun though,positive,neutral
braxton untill sleep minutes time! hard mom days like this!,negative,neutral
im bummed right now....nobody loves,negative,neutral
wikileaks geht wieder super,positive,neutral
want go pub. boooo.,negative,neutral
yayy! cant wait see them!,neutral,positive
finds hardest thing christian put god first life. need help..,negative,neutral
high dry goin ice cream best friend.,neutral,positive
yeps...just today though badly wanted geek shopping...,negative,neutral
aww cryin tho...i want get thru...i feel sorry shes good tho.,neutral,negative
missing husband nice wake parents house. dogs ecstatic,neutral,positive
tree lined avenue begins fade view drowning past regrets tea cigarettes cant seem forget came along,neutral,negative
kyles going town weekend play time wif fwiends. rawrrr.,positive,neutral
finally sickness.,positive,neutral
fav. song uh...honestly rude u make us choose. lol love em all!,neutral,positive
deplurk! gah!! need concentrate jap! visit site time heh...,negative,neutral
new dress looks sort of...horrible,negative,neutral
going bff s. haha. thats like hourssss sooooo...calllll me. actually darn hw,negative,neutral
want magic mountain tix dont get ur station paso boo sux,negative,neutral
wanna single rest life,positive,neutral
take back. insulted.,negative,neutral
nooooothing tonight,negative,neutral
haha bad am.... well perhaps little less retarded . attempting knit gloves winter,neutral,negative
wish get least days row. day NEG_enough NEG_to NEG_rest. NEG_days NEG_on NEG_day NEG_off NEG_days NEG_on NEG_day NEG_off...ugh!!!,negative,neutral
woohoo!!!!! nothing says hot date night squeegee! lol watching dora noggin yr girl hubs work,positive,neutral
going recording needle stings heart youtube something? missed stream,negative,neutral
feel like today got speeding ticket st since years...blows!!!!!!!,negative,neutral
sunny work !!!,negative,neutral
kids b day party picnic canazarro park. half hurts today,neutral,negative
bored kinda lonely parents went lake. friend bring knew bored go.,neutral,negative
feel pain... dont hate days,neutral,negative
thinkin twitter really quite borin,negative,neutral
omg!! tragic!,neutral,negative
yeah age aquarius pretty scary song,negative,neutral
am. im beach. pretty,positive,neutral
burnt fingers trying keep hands warm rice cooker.,negative,neutral
gonna arthroscopy repair knee,negative,neutral
looks like dialed lot...payed attention small important details gameplay...still NEG_blood NEG_tho,neutral,negative
well scared saying may rustling trees! happy sunday sir,neutral,positive
lmao!!! ummm duh gurl need buy v necks like em!!!,neutral,positive
new picture working,negative,neutral
friday!!!!!!!!!! wooo nothing do. nuggets better pull tonight.,neutral,positive
tell thrilled nosebleed. first time ages. overjoyed cover it. urgh,negative,neutral
first day new job! yeah!,positive,neutral
grizzly bear concert tonight!!!!! wait. cold though?,positive,neutral
lol dammit well next time,negative,neutral
seriously neeed study,positive,negative
jonas awesome! watched groovy movies frankie weird lol,neutral,positive
gets around problem good idea.,neutral,positive
play world conflict computer running slow,negative,neutral
hey thank much . failed miserably get list together week,neutral,negative
still confuse...,neutral,negative
omg finished history childrens book!!!! need make pretty print im done!!! whoo!!!,neutral,positive
translation complicated sh someone going teach,negative,neutral
gonna miss live comet action tomorrow! go take care cousins access interwebz,positive,neutral
soooo jelous right,negative,neutral
increasingly convinced moderately lactose intolerant given deep abiding love cheese totally sucks,negative,positive
killers best. bit disappointed last song cut short watch full iplayer ?,neutral,negative
hahahaha definitely! still writing?,neutral,positive
NEG_i NEG_haven NEG_t NEG_seen NEG_it NEG_yet! NEG_but NEG_once NEG_it NEG_comes NEG_out NEG_on NEG_dvd.. NEG_hehe. NEG_haha,positive,neutral
got home. yay! hi guys!,neutral,positive
wow tired... going bed good night,neutral,positive
walking puppies downtown. also mystery missing cat solved hid basement nearly two days.,negative,neutral
make nyc huh?,negative,neutral
hard tell think right hope.,neutral,positive
wants hang friends soon!,positive,neutral
wowzers! thanks! bang bang misses dance floor,neutral,positive
say goodnight good morning?,neutral,positive
patient get soon,positive,neutral
castiel!!!! angle,positive,neutral
munderday. like that.,positive,neutral
aguirre NEG_going NEG_anywhere NEG_when NEG_my NEG_book NEG_finally NEG_gets NEG_hre NEG_it NEG_will NEG_be NEG_cool NEG_know NEG_wht NEG_butch NEG_looks NEG_lk..lol NEG_it NEG_was NEG_going NEG_in NEG_mail NEG_tdy,positive,neutral
gave cable tough economic times. either cable shoes know cable lost,positive,negative
hey link work,negative,neutral
yeeeeeessss wait! bad drink,negative,neutral
haha NEG_chance NEG_i NEG_tweet NEG_rubbish NEG_back!,negative,neutral
thinks malibu drink lets hit bottle woop woop,positive,neutral
melissa leah car wont start.......,negative,neutral
oh look! traditional chinese charming love ? miss shutters doors...,neutral,positive
say mlia instead fml hope find soon,positive,neutral
waiting raimi new horror flick drag hell. really excited this! bad NEG_in NEG_in NEG_kc,neutral,negative
kinda may chickened out...,negative,neutral
tease! cant wait til sunday!! nothing november oh well wait!,neutral,positive
call mother cause partners crime. kp,neutral,negative
oh sure get everything. live like celebrities,positive,neutral
know tweeting though worry!! haha wish could fly ohio! saw beyonce monday uhmygawddd!,negative,positive
decided probably forget pocket sit accident,neutral,negative
what? but....but...the nurburgring... good?,positive,neutral
late actually spelling bee back day. got eliminated state finals though.,negative,neutral
x hey cameron know amazing sunburn mum happy . throat kills . . still,neutral,positive
youtube NEG_working NEG_properly NEG_for NEG_anyone NEG_else? NEG_i NEG_can NEG_t NEG_watch NEG_videos NEG_because NEG_they NEG_keep NEG_failing NEG_to NEG_load,neutral,negative
rawr whatnot. godawful drawing night tonight... even less progress made expected.,negative,positive
heading theatre! show tonight exited!,positive,neutral
n hacked NEG_signing NEG_needed.. NEG_thx NEG_opda,neutral,negative
hi! get try new restos..so yea fuunn let dinner get back!,positive,neutral
happy grey day everyone! oh miss grey s!!,neutral,positive
omg! dont blame you! hope didnt hurt bad,positive,negative
partied w elitecamp rock steady crew ladies wow course crazy legs holla! lmao sober. totally sober,neutral,positive
go near hive tame you!,negative,neutral
used book expo canada toronto cancelled year,negative,neutral
aaaah see prez obama holding hands wifey? soooo romantic even white house.....,positive,neutral
called friend bed. time acknowledge inevitable. goodnight hello sleep,neutral,positive
shocked feeling sick... happy,neutral,negative
want bad go mcfly concert,positive,neutral
midge? definitely tie first. completely dumb yeah punk indeed,negative,neutral
nothing like waking slow morning. docs appt today.,neutral,negative
feel left out... alone az...lol,neutral,negative
happened three weeks ago. serial card fraudster loose?,negative,neutral
today last official day uni! NEG_more NEG_balancing NEG_uni NEG_work NEG_with NEG_music!!!! NEG_til NEG_october NEG_atleast,neutral,negative
spending mother day mom.,neutral,positive
kewl got iphone gotta hope lasts weekend got shuffle might bring anyways... see ya am!,positive,neutral
broke bottle probably focus work instead thinking songgoeswrongs,neutral,negative
sighs. candy,negative,neutral
victor drew hannah montanna yearbook.hahaha. going miss nd per much,neutral,negative
getting hair cut tomorrow later today say... excited. swag already jus turning up!!,positive,neutral
autism bright side twitter! morning!,neutral,positive
NEG_there NEG_but NEG_wish NEG_i NEG_were,neutral,negative
thunder lightning scarededededed me!,negative,neutral
nothing sweeter year old!,positive,neutral
got back grocery store. starving find anything eat!,negative,neutral
fire call today missed,negative,neutral
fire rain james taylor fits style need sa audition perfectly find karaoke track high enough key,negative,neutral
finally reunited hunny bunny days b leaves another week away work night!,positive,neutral
cool lil night. berrie eat pizza waitin,positive,neutral
english well parts weather obsession,neutral,negative
NEG_but NEG_i NEG_just NEG_checked NEG_and NEG_got NEG_it NEG_lol. NEG_you NEG_are NEG_ok! NEG_i NEG_went NEG_live NEG_for NEG_a NEG_few NEG_minutes NEG_and NEG_everything NEG_is NEG_fine.,positive,neutral
listening teddy picker saw grabbed seemed,negative,neutral
aww hope u find soon miss it. cnt even use cam w memory full. plus wanna take sa commin weekend.,positive,neutral
know. want come bec excited bec gonna go fast,positive,neutral
doesnt hangover getting ready good ol english fry,neutral,positive
lol... bk year... going u come yet!!!,positive,neutral
days summer holiday left going way slow! school get here???,negative,neutral
michelle slept hours last night. still stick fever.,negative,neutral
busy week week quick trip chase oil gas htown back office fun week devel team,positive,neutral
drove mazda today boy car fun! sadly though find car much fun,neutral,positive
blah. work job one day job two night.,negative,neutral
like last part methodology.,positive,neutral
peter let smoke watched dazed confused. perfect pizza movie,positive,neutral
one could use garageband though probably overkill.,negative,neutral
haha. bet. settled . NEG_bad.,positive,neutral
extra night pasadena sergi baby cuz missed train riverside,neutral,negative
mom left...,negative,neutral
reached cellgroup leader house surprised dry. haha.,negative,neutral
iphone fell,negative,neutral
borred everyone doingn check links profile,negative,neutral
oh. need updating sudden. ok. get dressed anyway,neutral,negative
....any sorry wahh!! lub u toooo,neutral,negative
dude... dia e eu tenho curso na drc flash expert...,negative,neutral
agree spongebob better,positive,neutral
frank ups last day today... sad see go best delivery guy ever! hope new guy NEG_a NEG_fucktard...,negative,positive
juansimon god bored. wish could done something night!,negative,neutral
hoping pills something cuz gonna go nuts,positive,neutral
problem free now. atleast already said person truth.,positive,neutral
gooodmorning people earth!,positive,neutral
yay!!!! mark issues too...you find lot issues. lmao,negative,positive
ok. reached tweets dreamland good sleep!! talk later.,neutral,positive
call later tell weekend. easier phone.,positive,neutral
taste addison w fav. ppl,neutral,positive
walk school two welts thighs!,negative,neutral
haha should. t. lol might miss something.,positive,neutral
little weeping nervous girl put through... along yr old quite good dancing boy. greg lovely singer came rd,neutral,positive
wanna go freaking broke fun,neutral,negative
good evening terri! missed lately hope life good you. wonderful evening !,neutral,positive
sooo saw robs car drive by.,neutral,negative
kid stronger,positive,neutral
noboby behind. think lead far,positive,neutral
love ignored except yelled at. love life.,neutral,positive
kno behind times one learned troy bag dixon died back dec. th . rip troy.,neutral,negative
working god hate haha,neutral,negative
NEG_gonna NEG_follow NEG_me NEG_son?,negative,neutral
got coupon register us,negative,neutral
summer makes feel ugly pretty people showin good genes hell!!!,neutral,negative
wolverine much fun gambit bit disappointing. neither smooth cajun enough taste. pretty though,neutral,positive
another interview... please somebody hire me?! late,negative,neutral
yes... nice. missed lot fun. exams. looking good...hair,neutral,positive
forgive missed you!,neutral,negative
... could barely speak! probably thinking weirdo? looool. say sorry please? x,negative,neutral
alives.... less highness feeling.... sometimes hate feelings.... talking exhusband dead funny,neutral,negative
trying figure personalize downloaded wordpress blog! NEG_as NEG_easy NEG_as NEG_i NEG_was NEG_hoping NEG_any NEG_suggestions?,negative,neutral
grubb sweet... friend kevin joining us . look girl carrying backpack boulder pad.,neutral,positive
NEG_being NEG_mean,positive,negative
p.s. heart face,positive,neutral
rip michael,negative,neutral
couple years? may die without kateage. keeps fingers crossed tho,negative,neutral
monday school gosshhh waiting,positive,neutral
u NEG_that NEG_little NEG_prob NEG_with NEG_ur NEG_twitter NEG_that NEG_happen NEG_that NEG_old NEG_pep NEG_resteraunt! NEG_mayb NEG_this NEG_will NEG_help NEG_u NEG_fix NEG_it,positive,neutral
sad? glad.,neutral,negative
.,negative,neutral
justwatched like straight episodes escaped id discovery channel. guy imprisoned women killed cooked,neutral,negative
put brats bed im chillin noodle,positive,neutral
sucks seriously hope feel better soon need come next week!!!,neutral,positive
use newsfire. works like charm,positive,neutral
false alarm house,neutral,negative
somehow cant reply message lol yes know thank youuu,neutral,positive
help pay reactivation,positive,neutral
please remember need helmet bike asap talk later ok hope head NEG_to NEG_bad,neutral,positive
wish result true...,neutral,positive
couldnt call time phone would run give shoutout happy,positive,neutral
told joke onstage butlins . one person laughed. scarred life,negative,neutral
smile. everything worked out.,positive,neutral
wrong button ... music biz building is.,neutral,negative
lot messages sweet. yeah sayang,positive,neutral
g ur poopy head,negative,neutral
wants go tonight cant get home,negative,neutral
lol vats insiders,positive,neutral
sad day redskins release jansen best wishes him.,neutral,positive
anytime. aim please.,positive,neutral
yep. hope lame attempt spaces helped hinder lol. know tomorrow guess.,positive,neutral
long day family. tired now. fun!,neutral,negative
yeah told stanley time want slap girls icky encoraging bad behavior,negative,neutral
sisters pc blued screened,negative,neutral
give year old golden retriever away another family today,negative,neutral
anything help?,positive,neutral
oh NEG_zombiepix NEG_don NEG_t NEG_follow NEG_me NEG_anymore... NEG_need NEG_someone NEG_to NEG_cheer NEG_me NEG_up,positive,neutral
shut up.,negative,neutral
oh dear. sunburned back,negative,neutral
please?,positive,neutral
hate gender less. NEG_all NEG_men NEG_are NEG_bad. NEG_in NEG_fact NEG_i NEG_quite NEG_like NEG_mens.,neutral,negative
gotta assignments tomorrow omg mackillop swine,negative,neutral
hot w unknown followers? got quite NEG_clue NEG_as NEG_to NEG_why NEG_they NEG_re NEG_following NEG_me.,positive,neutral
wonders clumsy lately?,negative,neutral
getting upset work cus bindz j bullies let go duty free shopping!,negative,neutral
lovato never NEG_been NEG_better NEG_thanks NEG_what NEG_are NEG_you NEG_up NEG_to?,positive,neutral
wasnt sad? good?,negative,positive
poor dear. fellow mavens there. gym belong to? peac?,negative,neutral
dont wanna anymore! couch jus sittin middle floor. really finish?,neutral,negative
hey bet tweeps lots mother wisdom share.,positive,neutral
according quarter families six live poverty.,negative,neutral
NEG_you NEG_are NEG_having NEG_my NEG_favorite NEG_drink NEG_without NEG_me NEG_lol,neutral,negative
geek won. building photoblog theme...,positive,neutral
interesting people like never NEG_be NEG_bored NEG_tooshers.,neutral,positive
came back first city rooftop party man even next new yorker bldg still gets pretty windy there.,positive,neutral
everyone talking goodies . wanna there.,positive,neutral
know NEG_the NEG_only NEG_one. NEG_just NEG_harder NEG_on NEG_me.,negative,neutral
alarm watch pill name display functioning alzheimer patients w b key hear alarm ask noise about?,neutral,negative
believe preseason start august football drawls..,negative,neutral
lmao shush. illness comes joys multiple mouth ulcers think coming back healed,negative,neutral
stumble.. fall down... NEG_be NEG_moved,neutral,negative
mom friend drinking.. greatt..,positive,neutral
hey u forgot me!,negative,neutral
haha amen! im sooo hungry... hate knowing weekends gonna supposed great,negative,neutral
pretty mess missed free shots,neutral,negative
dammit passes still work,negative,neutral
sure wish mind could enter box called nothing men have. brain go there... exhausting.,negative,neutral
living ignorance,negative,neutral
NEG_idea NEG_wtf NEG_twitter NEG_is NEG_about NEG_but NEG_willing NEG_to NEG_give NEG_it NEG_a NEG_go! NEG_going NEG_out NEG_for NEG_a NEG_bit!,negative,neutral
work really hard sometimes need break haha. yeah...just let know need help anythin .,positive,neutral
clear intellectually severing relationship best yet heart seems b complete disagreement. hurts much,neutral,positive
must admit first saw name posted thought exploit attempt,negative,neutral
welcome new followers also,neutral,positive
finally picked handwraps struggling wrap stronger hand other! defo got lot sooner though,negative,positive
lovely? beautiful? sorry stevie NEG_really NEG_in NEG_a NEG_position NEG_to NEG_make NEG_that NEG_judgement,negative,positive
saying goodbye something familiar never NEG_becomes NEG_familiar,negative,neutral
biglots house jesus virgin mary rings one machines rocked one til broke,negative,neutral
whenever mama! let,positive,neutral
reason get boc,negative,neutral
newman called sold out. bummer. next time!,negative,neutral
lu must getting old bent second thing said last couple days NEG_really NEG_been NEG_a NEG_turnon,negative,neutral
ii either,negative,neutral
let know soon figure out... sorry mix supposed get work hour ago,negative,neutral
cops tell dad may never NEG_find NEG_her NEG_remains,negative,neutral
upload picture. everything big,negative,neutral
missing nathan bccg already. best friends tried visit heading back tomorrow afternoon.,negative,positive
bummer know lol actually partying school school..i think somehow helps me..hahaha!,positive,neutral
obviously NEG_too NEG_bad,negative,positive
aw sorry rooting let know!,positive,negative
went dmv today.....some things never NEG_change,negative,neutral
days left school! bryce tyler days elementary,positive,neutral
back home tallcree rez cant see boyfriend,negative,neutral
must love sydney dont leave us sydney kids,positive,neutral
like spirits night ooooh night qu grande ere mr. springsteen,positive,neutral
lovliest night last night ruined doctors inability warn side effects. back tests.,neutral,negative
em,negative,neutral
exactly feel right now.,neutral,negative
hey mary! twitter karishmaa luvv youu ?,positive,neutral
looking website!! working!!,positive,neutral
gonna watch jt snl tonight NEG_a NEG_fan NEG_of NEG_his NEG_music NEG_but NEG_think NEG_he NEG_s NEG_hilarious! NEG_in NEG_my NEG_pants NEG_way NEG_too NEG_funny,negative,positive
dad tv loud. get creeped cuz im dodgy neighbourhood someone bush.,neutral,negative
tres rude victor!,neutral,negative
studying spite. whatever.. wonderful unforgettable weekend dc,positive,neutral
less min lost followers,neutral,negative
past experiences redhead eg. discrimination even general info bout gingers society! helps,positive,neutral
funny u havent showed love yet,neutral,positive
finished cleaning bathroom. smell like clorox,negative,neutral
bloody servers work least hours. want go home now!,negative,neutral
now! !!!! celebrate watch star wars richard,neutral,positive
kinda sleepy.. late texting nice boy making date plans next weekend..,positive,neutral
thinking new.. oh yes .. btw bankroll stays . .. bit yesterday.. whine bad beats ..,positive,neutral
music im always blunt feelings never NEG_seems NEG_to NEG_do NEG_any NEG_good,negative,neutral
chilled room baby book missed bro leavin really cool stripper shirt said suppoort single moms! funny,neutral,positive
good day ..,negative,positive
goodness gracious chair broke,negative,positive
quitting beloved job... long luvly vacation koh tao turtle island south thailand... sea sand sun...wanna join me?,positive,neutral
wonder imagining oceans us NEG_very NEG_far.,negative,neutral
promised would spread cards around india...and gave someone deck never NEG_gave NEG_them NEG_out,positive,neutral
early,negative,neutral
give hater hug ? would that? like mwean people,negative,neutral
poor grace!!! need date cute male nurse.,neutral,positive
late already bus goin home u talkin drinkin tea????,negative,neutral
summer hours say day ends pm...doesn mean really get leave .,negative,neutral
finish twilight? did! wish wasnt,positive,neutral
yeah gonna rubbish!,negative,neutral
dentist chicks hot thats plus,neutral,negative
feeling breathing believing keeping mind never NEG_ever NEG_gonna NEG_think NEG_to NEG_let NEG_you NEG_go..,neutral,negative
dont believe eyes say browser? omg omg omg,negative,neutral
put camera smokers pit. NEG_longer NEG_vandalize NEG_that NEG_door NEG_without NEG_being NEG_caught.,neutral,negative
